Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,Signal56,Signal57,Signal58,Signal59,Signal60,Signal61,Signal62,Signal63,Signal64,Signal65,Signal66,Signal67,Signal68,Signal69,Signal70,Signal71,Signal72,Signal73,Signal74,Signal75,Signal76,Signal77,Signal78
1.38E+06,-7579700,-8288800,2332800,1717900,-6808800,5662700,6082300,-19028000,-20354000,2400300,366360,-9225600,-148130,-9399800,-5813200,-2067100,20156000,15605000,2983500,6887300,-9874700,3332000,-468160,10717000,6356600,11129000,11690000,-10201000,-5407500,3649800,-7180300,4565800,14883000,-8503800,-4366800,12986000,13571000,8908700,-12431000,6251300,16777000,-11040000,1063800,9614200,22050000,-3016500,16324000,5640600,-9718400,67147,20524000,-8912900,6287000,2657700,-23531000,-10248000,-6090500,1180400,-3560500,-2559900,960010,1854400,-17796000,-3949500,-928940,11204000,-4054600,-7021400,8565300,-11637000,22365000,12329000,14452000,28802000,16255000,2574100,629400
5.95E+06,-7771600,5768000,3293100,4869700,-9427400,8562100,6750900,-18113000,-15165000,-437370,-4695200,-8296000,-4881100,-8127900,-3574600,-6523300,20940000,18176000,3462500,7855100,-9465800,-3460600,481020,9733700,8060600,7387100,14218000,-15254000,-7272200,3965300,-6567900,1059300,19865000,-6435800,-6109900,8803600,10428000,9606300,-7898100,2261000,17480000,-9230400,1332800,10503000,16558000,-1267300,16475000,3419600,-8969900,-4816200,18791000,-12844000,9220000,4858100,-19558000,-13768000,-3807900,1436000,960290,-6297900,468540,1304200,-12367000,-2018600,-162550,10185000,-4407000,-8464000,8008000,-8036500,14656000,15223000,12025000,24663000,17385000,114620,3757200
1.07E+07,-7060800,9104000,6537300,6356100,-9695800,10831000,6346000,-14534000,-9298600,-1328000,-9896900,-8368000,-10297000,-5265300,-4406700,-10801000,22256000,20067000,9183800,9076700,-7156000,-9060700,-1491200,7783800,13017000,6782100,16905000,-17127000,-8696400,3027200,-4502400,-2926000,20507000,-2099000,-4709800,4494100,6512700,8455300,-5279700,1466600,18172000,-7162600,3069100,12106000,9129800,-55144,15267000,3018600,-5399000,-7254400,16826000,-16293000,14327000,5822300,-17214000,-14166000,-5233500,-558850,3127300,-9178100,-437180,787510,-5018800,668040,147050,7213400,-7455800,-9155200,6444700,-4604700,6422100,16857000,8995600,17673000,16562000,-1077100,6959400
1.28E+07,-4607200,12485000,6804300,-1996700,-6842700,11998000,4204700,-10023000,-6317700,-750480,-8775400,-9816200,-14555000,-1232300,-6412700,-11321000,22478000,18767000,16193000,10650000,-2304100,-12335000,-4344300,7352800,19423000,8347900,19253000,-13421000,-9588800,3161800,-4897200,-4834500,17173000,-1318600,-2564100,1401400,4729400,5643200,-4547100,3451700,17250000,-5499000,6164300,12283000,3705300,-141360,13565000,3114900,-5454400,-7906000,16774000,-19022000,20488000,7210200,-16088000,-12036000,-8315100,-3505400,2648800,-8338700,-2284800,-591950,432850,3203000,54777,6648200,-10910000,-9271500,5942500,-1749100,3332400,19256000,8326700,11181000,14423000,419240,10087000
1.33E+07,-1433100,14341000,8219500,2575800,8747900,11270000,1478800,-5614300,-6875500,-370480,-1731200,-9153000,-17021000,2011000,-6439100,-8033300,18125000,13572000,19688000,12264000,2353600,-14651000,-4196000,10682000,24895000,9528200,20676000,-6515900,-9169100,4928700,-6605000,-4276000,13770000,-4349500,-2210500,-829050,4284800,1411100,-2416400,5034500,14354000,-4765400,9222000,9223100,2738400,-893040,11754000,2851800,-10366000,-7274300,18071000,-22305000,24403000,9381500,-13438000,-8755900,-8314700,-7479500,2928500,-4737800,-4238900,-3823100,818930,4574900,-37837,8884300,-12852000,-9184900,6889700,944580,3936900,23593000,10758000,6762700,12457000,3823600,13267000
1.44E+07,1586500,13606000,10399000,5704500,5284700,-731550,-384850,-921090,-8196400,423770,3374100,-5529500,-17526000,2412700,-3573600,-4513700,8664300,6844600,19368000,12807000,4669900,-16545000,-1398700,16115000,28565000,9033800,21306000,-843080,-7086600,6208100,-5398100,-2524400,13070000,-6720400,-2769800,-1841700,1996400,-2937200,1920800,5426900,11456000,-4598800,11426000,4953700,3270300,-1254000,8688600,2258400,-14297000,-5102000,18307000,-25934000,23638000,10938000,-9907200,-5389800,-3841100,-11987000,5279300,-2780900,-4123400,-7899800,-2311200,4386500,1352100,10745000,-14461000,-8824600,7728600,3018500,3567700,27126000,14054000,3511900,12140000,6662500,16933000
1.53E+07,3990800,11520000,11692000,7673700,1364400,326140,9044100,4321300,-8031100,3268200,1266900,-2410500,-16303000,516510,-118730,-3119400,-2082200,2345400,17414000,11271000,5812500,-16692000,771320,19158000,30628000,7847300,21735000,1032800,-4162600,5459600,-553580,-1012900,13626000,-6562500,-2682700,-926120,-3051000,-5058800,5271700,6334300,11070000,-3547200,14062000,2864300,1393100,-1012400,2916500,1037200,-12636000,-1848000,16955000,-28304000,19994000,10401000,-8551000,-2479600,1693100,-14324000,6981600,-5163000,-1100100,-9312600,-3898200,3642400,4636300,10617000,-17552000,-6867000,7469000,3818900,1241000,25631000,16449000,1211200,13798000,7595200,20643000
1.48E+07,4609900,10592000,10766000,8369500,-2925600,1752700,11808000,-6818700,-7092800,7037000,-4851600,-1026100,-14630000,-1603100,1247400,-2528000,-10424000,1942700,14002000,8213200,7456900,-14944000,1818500,17637000,30768000,7131500,22239000,-903750,-1067600,4350500,4199500,-1158800,12543000,-5961600,-3163100,591150,-7922800,-3561900,5961000,8242900,13285000,-1057200,18668000,2906400,-1945300,-185340,-4709000,-1680300,-7872100,918850,15018000,-28260000,17754000,7482800,-9733400,-341290,4734300,-11876000,6468500,-9642900,3165200,-6221700,-1047100,3902900,7689900,10084000,-21020000,-2702300,7062900,4256300,-906280,18915000,18696000,1762800,16128000,7806700,22951000
1.36E+07,2723700,11167000,8058400,6619100,-7005500,2111300,12419000,-7021300,5633500,8298800,-8982900,2074000,-13470000,-3543500,962630,-739980,-16233000,4018300,8131600,5695200,8347600,-13244000,4204900,14141000,28736000,6540000,22493000,-5408800,2416100,5308600,6364100,-3937700,9860400,-5595100,-5714800,478320,-9744500,103330,6754800,9557200,15473000,1278100,23870000,3013600,-2749800,1533300,-11401000,-5833700,-5038700,2224900,12063000,-25190000,18213000,3126400,-10695000,954090,5585600,-5770600,6346100,-11886000,6573100,-1765400,4139100,4988700,8510300,10569000,-21725000,1434100,7167500,6556100,-2028600,11350000,21938000,5778700,17352000,9089900,23651000
1.20E+07,-213480,10391000,5223400,2103600,-9828500,1416400,12158000,-7227200,1374500,-7154600,-9293700,8178000,-11656000,-6040700,2310100,2111700,-20410000,5331100,1273800,5422700,6255000,-12186000,8096700,12513000,25902000,5860600,21618000,-10622000,5776000,7458900,7597800,-8228000,8064500,-3455900,-8265500,-632040,-9408900,2588200,10017000,9146400,15273000,2017700,26043000,3810800,280580,3794600,-15743000,-9430800,-4856400,2845000,7272100,-18756000,18151000,-1369700,-9336300,1851200,6958500,-371640,8988500,-10613000,8442800,26098,7945000,4528200,8306000,11079000,-18300000,2765900,6106000,12072000,-2880500,6297100,25008000,10173000,17117000,11412000,24917000
