time_s,pi_amp,pcr_amp,ph
0,2.08E+06,2.75E+07,6.98E+00
3,1.94E+06,2.71E+07,7.04E+00
6,2.31E+06,2.77E+07,7.02E+00
9,2.63E+06,2.78E+07,6.98E+00
12,2.00E+06,2.75E+07,7.01E+00
15,3.11E+06,2.79E+07,7.00E+00
18,3.58E+06,2.93E+07,7.00E+00
21,6.82E+06,2.59E+07,7.14E+00
24,8.53E+06,2.43E+07,7.08E+00
27,1.05E+07,1.98E+07,7.14E+00
30,1.20E+07,1.82E+07,7.12E+00
33,1.31E+07,1.72E+07,7.07E+00
36,1.31E+07,1.62E+07,7.06E+00
39,1.33E+07,1.65E+07,6.99E+00
42,9.77E+06,1.84E+07,6.97E+00
45,7.61E+06,2.03E+07,6.91E+00
48,6.68E+06,2.35E+07,6.92E+00
51,5.17E+06,2.42E+07,6.90E+00
54,3.05E+06,2.48E+07,6.94E+00
57,3.47E+06,2.57E+07,6.97E+00
60,2.90E+06,2.58E+07,6.96E+00
63,2.10E+06,2.70E+07,6.82E+00
66,2.09E+06,2.73E+07,6.87E+00
69,2.18E+06,2.74E+07,6.89E+00
72,2.20E+06,2.74E+07,6.96E+00
75,1.54E+06,2.81E+07,6.86E+00
78,2.86E+06,2.79E+07,6.90E+00
81,2.42E+06,2.81E+07,6.99E+00
84,1.99E+06,2.83E+07,6.85E+00
87,1.83E+06,2.75E+07,6.93E+00
90,1.64E+06,2.75E+07,6.98E+00
93,1.86E+06,2.76E+07,6.97E+00
96,1.83E+06,2.81E+07,6.97E+00
99,2.38E+06,2.76E+07,6.98E+00
102,1.49E+06,2.77E+07,6.91E+00
105,1.48E+06,2.80E+07,7.02E+00
108,2.04E+06,2.83E+07,6.94E+00
111,2.49E+06,2.76E+07,6.94E+00
114,2.14E+06,2.80E+07,6.92E+00
117,3.19E+06,2.85E+07,6.95E+00
120,3.10E+06,2.86E+07,7.03E+00
123,2.64E+06,2.84E+07,7.04E+00
126,2.59E+06,2.85E+07,7.02E+00
129,2.57E+06,2.79E+07,6.98E+00
